,id,alias,name,is_claimed,is_closed,review_count,rating,coordinates,business_type,price,zip_code,city,state,delivery,pickup,covid_cases,covid_tests,covid_deaths,zipcode_population,latitude,longitude
5471,FWG6SlZZOsWunug0lK-FFg,wendys-chicago-36,Wendy's,,False,35.0,1.5,"{'longitude': -87.690067, 'latitude': 41.823174}",,1.0,60632,Chicago,IL,True,False,11075.0,62762.0,163.0,91039.0,41.823174,-87.690067
5472,7httzwZam5RCeh3b5PiTtQ,mckinley-park-chicago,Mckinley Park,,False,11.0,4.0,"{'longitude': -87.6824446767569, 'latitude': 41.8237381790537}",,,60609,Chicago,IL,False,False,5768.0,50608.0,115.0,61495.0,41.8237381790537,-87.6824446767569
5473,1B_tBA1N2UiWTml1nYFJsg,vienna-beef-factory-store-chicago,Vienna Beef Factory Store,,False,24.0,4.0,"{'longitude': -87.6506320014596, 'latitude': 41.8237901473538}",,1.0,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.8237901473538,-87.6506320014596
5474,Chmrr3hAhCngdhFIHTIHlA,dunkin-chicago-50,Dunkin',,False,9.0,4.0,"{'longitude': -87.6501006, 'latitude': 41.823865}",,1.0,60609,Chicago,IL,True,False,5768.0,50608.0,115.0,61495.0,41.823865,-87.6501006
5475,sJNjOCLbw2J_g59GMKeeGA,shinnicks-pub-chicago,Shinnick's Pub,,False,18.0,4.0,"{'longitude': -87.643882, 'latitude': 41.825431}",,1.0,60609,Chicago,IL,False,False,5768.0,50608.0,115.0,61495.0,41.825431,-87.643882
5476,2-MNbRnfha4fC3-amMVIpA,kevins-hamburger-heaven-chicago,Kevin's Hamburger Heaven,,False,46.0,3.0,"{'longitude': -87.64026, 'latitude': 41.823861}",,1.0,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.823861,-87.64026
5477,7bU9SG-VOKqlAfWv3jOJQg,taqueria-mi-lindo-mexico-chicago,Taqueria Mi Lindo Mexico,,False,7.0,4.0,"{'longitude': -87.64019, 'latitude': 41.8238}",,1.0,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.8238,-87.64019
5478,3SsG0mn9nYNR7cyHr_IC_Q,sharks-fish-and-chicken-chicago-26,Sharks Fish and Chicken,,False,2.0,3.0,"{'longitude': -87.63224, 'latitude': 41.823359}",,,60609,Chicago,IL,True,True,5768.0,50608.0,115.0,61495.0,41.823359,-87.63224
5479,tFpf0bI7JoeoAJaC09sU4w,truth-italian-restaurant-chicago-2,Truth Italian Restaurant,,False,296.0,3.5,"{'longitude': -87.62423, 'latitude': 41.82394}",,2.0,60653,Chicago,IL,True,True,1914.0,30921.0,52.0,31972.0,41.82394,-87.62423
5480,uR7SYWoUHSjUeT8DFp7ofw,pearls-place-chicago-4,Pearl's Place,,False,455.0,3.5,"{'longitude': -87.6227937306885, 'latitude': 41.8235178493493}",,2.0,60653,Chicago,IL,True,True,1914.0,30921.0,52.0,31972.0,41.8235178493493,-87.6227937306885
5481,BzYfh7_sPOXqYvcxU2KgZw,shores-xpress-chicago-2,Shore's Xpress,,False,19.0,4.0,"{'longitude': -87.6226, 'latitude': 41.82398}",,1.0,60653,Chicago,IL,True,True,1914.0,30921.0,52.0,31972.0,41.82398,-87.6226
5482,Z5WvtdVLwSWBCgu1hW2DFg,the-chicago-rib-house-chicago-2,The Chicago Rib House,,False,8.0,2.5,"{'longitude': -87.622619, 'latitude': 41.823989}",,1.0,60653,Chicago,IL,True,True,1914.0,30921.0,52.0,31972.0,41.823989,-87.622619
5483,n47jWHED87LNfosn1Ms5_g,pork-and-mindys-chicago-3,Pork & Mindys,,False,2.0,2.0,"{'longitude': -87.61603517, 'latitude': 41.82474233}",,,60653,Chicago,IL,True,True,1914.0,30921.0,52.0,31972.0,41.82474233,-87.61603517
5484,-gu5a_QISKXBl4YnFD1WQQ,mollies-public-house-riverside,Mollie's Public House,,False,147.0,4.5,"{'longitude': -87.8208924, 'latitude': 41.8281895}",,2.0,60546,Riverside,IL,True,False,,,,,41.8281895,-87.8208924
5485,KiWUwmapDcwLjEQPSjgSiQ,la-barra-riverside-riverside,La Barra - Riverside,,False,140.0,3.5,"{'longitude': -87.8195234, 'latitude': 41.8281745}",,2.0,60546,Riverside,IL,True,True,,,,,41.8281745,-87.8195234
5486,-lvjCkrFcMRVPFPCTJ3BzA,la-estancia-riverside,La Estancia,,False,39.0,3.5,"{'longitude': -87.8201527744084, 'latitude': 41.828178664729}",,,60546,Riverside,IL,True,True,,,,,41.828178664729,-87.8201527744084
5487,3QAxoS19esmdwPLiM-dT7Q,riverside-museum-riverside,Riverside Museum,,False,2.0,4.5,"{'longitude': -87.8201065063477, 'latitude': 41.8277130126953}",,,60546,Riverside,IL,False,False,,,,,41.8277130126953,-87.8201065063477
5488,d1QuRZJs6TuY97O-Nst9Zw,left-hand-bagels-riverside,Left Hand Bagels,,False,1.0,5.0,"{'longitude': -87.8198533997693, 'latitude': 41.827663769375}",,1.0,60546,Riverside,IL,False,False,,,,,41.827663769375,-87.8198533997693
5489,ySXhPVoXJvnR6jMhA3SfAg,quincy-street-distillery-riverside,Quincy Street Distillery,,False,69.0,5.0,"{'longitude': -87.81739, 'latitude': 41.82719}",,2.0,60546,Riverside,IL,False,False,,,,,41.82719,-87.81739
5490,JxMuyQCISkVZJQYQ5ld79g,the-chew-chew-riverside,The Chew Chew,,False,216.0,4.0,"{'longitude': -87.8179702758789, 'latitude': 41.8281745910645}",,2.0,60546,Riverside,IL,True,False,,,,,41.8281745910645,-87.8179702758789
5491,z9aBPmYFcuh3JJgZQNBthQ,sawmilly-sandwich-shoppe-riverside,Sawmilly Sandwich Shoppe,,False,32.0,4.0,"{'longitude': -87.81797, 'latitude': 41.82817}",,2.0,60546,Riverside,IL,True,False,,,,,41.82817,-87.81797
5492,NcTS0DlkT50TjbTSCea2Ew,michaels-pancake-house-riverside-riverside,Michael's Pancake House Riverside,,False,2.0,5.0,"{'longitude': -87.81843688422336, 'latitude': 41.828240168355265}",,,60546,Riverside,IL,False,False,,,,,41.828240168355265,-87.81843688422336
5493,7qMrkoE22jzRhWFDfOjf_w,berwyn-moose-lodge-berwyn,Berwyn Moose Lodge,,False,1.0,4.0,"{'longitude': -87.8027269989252, 'latitude': 41.8277128826985}",,,60402,Berwyn,IL,False,False,,,,,41.8277128826985,-87.8027269989252
5494,RIKrQyF3bEjWiuSt5Eazuw,nonnos-pizza-berwyn,Nonno's Pizza,,False,63.0,3.5,"{'longitude': -87.7969834908768, 'latitude': 41.8261336542669}",,1.0,60402,Berwyn,IL,True,False,,,,,41.8261336542669,-87.7969834908768
5495,7gnQQ_yNKnxqD-dlPXnmTw,wok-n-roll-express-berwyn,Wok N Roll Express,,False,46.0,3.5,"{'longitude': -87.7969187797623, 'latitude': 41.8261575168266}",,1.0,60402,Berwyn,IL,True,False,,,,,41.8261575168266,-87.7969187797623
